eXoID	Setup
DOS00770	Options during startup
DOS00771	No setup found
DOS00772	No setup found
DOS00774	No setup found
DOS00775	No setup found
DOS00776	No setup found
DOS00777	setd.exe
DOS00778	No setup found
DOS00780	No setup found
DOS00781	No setup found
DOS00782	Options during startup
DOS00783	No setup found
DOS00784	No setup found
DOS00785	No setup found
DOS00786	No setup found
DOS00787	No setup found
DOS00788	No setup found
DOS00789	No setup found
DOS00790	No setup found
DOS00792	INSTALL.EXE
DOS00793	No setup found
DOS00794	SETUP.EXE
DOS00795	Options during startup
DOS00796	No setup found
DOS00797	Options during startup
DOS00798	SETSOUND.EXE
DOS00799	No setup found
DOS00800	SETUPAQ.EXE
DOS00801	SETUP.BAT
DOS00802	No setup found
DOS00803	No setup found
DOS00804	No setup found
DOS00805	No setup found
DOS00806	SETUP.EXE
DOS00807	No setup found
DOS00808	No setup found
DOS00809	No setup found
DOS00810	No setup found
DOS00811	No setup found
DOS00812	SETUP.EXE
DOS00813	SETUP.EXE
DOS00814	No setup found
DOS00815	No setup found
DOS00816	Options during startup
DOS00818	SNDSETUP.EXE
DOS00819	Options during startup
DOS00820	No setup found
DOS00821	SETUP.EXE
DOS00822	No setup found
DOS00823	Options during startup
DOS00824	No setup found
DOS00826	No setup found
DOS00827	No setup found
DOS00829	No setup found
DOS00830	Options during startup
DOS00831	No setup found
DOS00832	INSTALL.EXE
DOS00833	INSTALL.EXE
DOS00834	SETUP.EXE
DOS00835	No setup found
DOS00836	No setup found
DOS00837	No setup found
DOS00838	CONFIG.EXE
DOS00839	No setup found
DOS00840	No setup found
DOS00842	No setup found
DOS00843	No setup found
DOS00844	No setup found
DOS00845	No setup found
DOS00846	Options during startup
DOS00847	Options during startup
DOS00848	SETUP.EXE
DOS00849	No setup found
DOS00850	No setup found
DOS00851	No setup found
DOS00852	No setup found
DOS00853	No setup found
DOS00854	No setup found
DOS00855	SOUNDSET.EXE
DOS00856	No setup found
DOS00857	SOUND.EXE
DOS00858	No setup found
DOS00859	No setup found
DOS00862	No setup found
DOS00863	SETUP.EXE
DOS00864	No setup found
DOS00865	Options during startup
DOS00866	No setup found
DOS00867	SETSOUND.EXE
DOS00868	No setup found
DOS00869	No setup found
DOS00870	INSTALL.EXE
DOS00871	No setup found
DOS00872	No setup found
DOS00875	No setup found
DOS00877	INSTALL.EXE
DOS00878	Options during startup
DOS00880	No setup found
DOS00881	No setup found
DOS00882	No setup found
DOS00883	No setup found
DOS00884	No setup found
DOS00885	Options during startup
DOS00886	No setup found
DOS00887	In-Game Menu
DOS00888	Options during startup
DOS00890	INSTALL.BAT
DOS00892	No setup found
DOS00893	No setup found
DOS00894	Parameters added to boot command
DOS00897	No setup found
DOS00898	INSTALL.EXE
DOS00900	No setup found
DOS00901	No setup found
DOS00902	No setup found
DOS00903	No setup found
DOS00904	No setup found
DOS00905	No setup found
DOS00906	No setup found
DOS00907	SETUP.EXE
DOS00908	Options during startup
DOS00912	No setup found
DOS00913	No setup found
DOS00914	SETUP.BAT
DOS00916	SETSOUND.EXE
DOS00917	No setup found
DOS00918	No setup found
DOS00919	No setup found
DOS00920	No setup found
DOS00921	No setup found
DOS00922	No setup found
DOS00923	No setup found
DOS00925	No setup found
DOS00926	Options during startup
DOS00927	Parameters added to boot command
DOS00928	SETUP.EXE
DOS00929	INSTALL.EXE
DOS00930	Options during startup
DOS00931	No setup found
DOS00932	No setup found
DOS00933	Options during startup
DOS00934	No setup found
DOS00935	No setup found
DOS00936	No setup found
DOS00937	No setup found
DOS00939	No setup found
DOS00940	Options during startup
DOS00941	No setup found
DOS00942	Options during startup
DOS00943	SETUP.EXE
DOS00944	No setup found
DOS00945	SETUP.EXE
DOS00947	No setup found
DOS00948	Options during startup
DOS00949	No setup found
DOS00950	CONFIG.EXE
DOS00952	SETUP.EXE
DOS00954	Options during startup
DOS00955	No setup found
DOS00956	No setup found
DOS00957	No setup found
DOS00958	SETSOUND.EXE
DOS00959	SETSOUND.BAT
DOS00960	INSTALL.EXE
DOS00961	Options during startup
DOS00962	No setup found
DOS00963	No setup found
DOS00964	SETUP.EXE
DOS00965	INSTALL.BAT
DOS00966	BCSETUP.EXE
DOS00967	No setup found
DOS00968	SETUP.EXE
DOS00970	SETUP.EXE
DOS00971	No setup found
DOS00972	Options during startup
DOS00973	SETUP.EXE
DOS00974	No setup found
DOS00975	No setup found
DOS00976	INSTALL.EXE
DOS00977	Options during startup
DOS00978	INSTALL.EXE
DOS00979	INSTALL.EXE
DOS00984	No setup found
DOS00985	No setup found
DOS00986	Options during startup
DOS00987	SETUP.EXE
DOS00988	No setup found
DOS00989	Embedded in batchfile
DOS00990	No setup found
DOS00991	Options during startup
DOS00992	SETSOUND.EXE
DOS00993	No setup found
DOS00994	No setup found
DOS00995	Options during startup
DOS00996	SETUP.EXE
DOS00997	SETUP.BAT
DOS00998	SETUP.EXE
DOS00999	No setup found
DOS01001	SETUP.EXE
DOS01002	No setup found
DOS01004	INSTALL.EXE
DOS01005	install.exe
DOS01006	Options during startup
DOS01007	SETUP.EXE
DOS01008	SETUP.EXE
DOS01009	No setup found
DOS01010	No setup found
DOS01018	Options during startup
DOS01019	No setup found
DOS01020	INSTALL.EXE
DOS01021	No setup found
DOS01022	No setup found
DOS01023	CONFIG.EXE
DOS01024	No setup found
DOS01025	No setup found
DOS01026	SETUP.EXE
DOS01027	No setup found
DOS01029	No setup found
DOS01030	No setup found
DOS01032	No setup found
DOS01033	No setup found
DOS01034	No setup found
DOS01036	No setup found
DOS01041	No setup found
DOS01043	BBCONFIG.COM
DOS01046	INSTALL.EXE
DOS01047	No setup found
DOS01048	setup.exe
DOS01049	SETSOUND.EXE
DOS01050	No setup found
DOS01052	No setup found
DOS01053	No setup found
DOS01054	setup.exe
DOS01055	Options during startup
DOS01056	BTCONFIG.COM
DOS01057	No setup found
DOS01058	INSTALL.EXE
DOS01060	Options during startup
DOS01061	No setup found
DOS01062	No setup found
DOS01063	INSTALL.EXE
DOS01064	INSTALL.EXE
DOS01067	No setup found
DOS01068	No setup found
DOS01070	No setup found
