eXoID	Game	Folder	sdl__fulldouble	sdl__fullfixed	sdl__output	sdl__autolock	sdl__sensitivity	sdl__mapperfile	sdl__usescancodes	sdl__overscan	sdl__titlebar	sdl__showmenu	dosbox__machine	dosbox__vmemsize	dosbox__memsize	render__char9	render__doublescan	render__autofit	vsync__vsyncmode	cpu__core	cpu__cputype	cpu__cycles	cpu__cycleup	cpu__cycledown	keyboard__aux	pci__voodoo	pci__voodoomem	mixer__rate	mixer__blocksize	mixer__prebuffer	midi__mpu401	midi__mididevice	midi__fluid_dot_soundfont	midi__fluid_dot_gain	midi__mt32_dot_romdir	midi__mt32_dot_output_dot_gain	sblaster__sbtype	sblaster__sbbase	sblaster__goldplay	sblaster__irq	sblaster__dma	sblaster__hdma	sblaster__sbmixer	sblaster__oplmode	sblaster__oplemu	sblaster__oplrate	gus__gus	gus__gusrate	gus__gusdma	gus__ultradir	innova__innova	speaker__ps1audio	speaker__ps1audiorate	speaker__pcspeaker	speaker__pcrate	speaker__wizpopfix	speaker__tandy	speaker__tandyrate	speaker__disney	joystick__joysticktype	joystick__timed	joystick__buttonwrap	dos__xms	dos__ems	dos__umb	dos__keyboardlayout	ipx__ipx	ne2000__ne2000	ne2000__macaddr	log__logfile
DOS17423	Five Card Draw Poker	5CrdDPok			openglnb			mapper.map					svga_s3		32													49716					.\mt32\SoundCanvas.sf2		.\mt32									opl3	nuked	49716																								
DOS17424	Five Card Draw	5CrdDraw			openglnb			mapper.map					svga_s3		8							500						49716					.\mt32\SoundCanvas.sf2		.\mt32									opl3	nuked	49716																								
DOS17425	Five Card Draw Video Poker	5CrdDVP			openglnb			mapper.map					svga_s3		32							9000						49716					.\mt32\SoundCanvas.sf2		.\mt32									opl3	nuked	49716																								
DOS17426	Five-Dice	5Dice			openglnb			mapper.map					svga_s3		32													49716					.\mt32\SoundCanvas.sf2		.\mt32									opl3	nuked	49716																								
DOS17427	Five Squared No Peeky Poker Solitaire	5SqrdNPP			openglnb			mapper.map					svga_s3		32													49716					.\mt32\SoundCanvas.sf2		.\mt32									opl3	nuked	49716																								
DOS00666	5th Fleet	5thflet			openglnb			mapper.map					svga_s3		64																																																							
DOS00667	5X	5X			openglnb			mapper.map					svga_s3		64																																																							
DOS00668	688 Attack Sub	688Attac			openglnb			mapper.map					svga_s3	auto	8													48000				auto																				false		discrete																
DOS07266	747-400 Precision Simulator	747400			openglnb			mapper.map					svga_s3		63							max																																																
DOS05966	The Seven Cities of Gold	7CitGold			openglnb			mapper.map					pcjr	auto	4							600						48000				auto																				false		discrete																
DOS00669	7 Colors	7colors			openglnb			mapper.map					svga_s3		64																																																				true			
DOS00672	The 7th Guest	7thguest			openglnb			mapper.map					svga_s3		32							15000											.\mt32\SoundCanvas.sf2		.\mt32								false																											
DOS00673	8088 Othello	8088			openglnb			mapper.map					svga_s3		64																																																							
DOS00226	Eight Queens	8queens			openglnb			mapper.map					svga_s3		64																																																							
DOS00674	9:05	905			openglnb			mapper.map					svga_s3		64								500						2048	10																	true															true				none				
DOS03755	Nine Princes in Amber	9amber			openglnb			mapper.map					pcjr		8								500						2048	10																	true															true				none				
DOS07267	9-Hole Miniature Golf	9HoleMG			openglnb			mapper.map					cga									300																																																
DOS03754	The Nine Lives of Secret Agent Katt	9livosak			openglnb			mapper.map					svga_s3		64																																																							
DOS00675	A-10 Tank Killer	A-10Tank			openglnb			mapper.map	false				svga_s3		32							2000								20		mt32	.\mt32\SoundCanvas.sf2		.\mt32												true												false											
DOS17279	A-Pac	A-Pac			openglnb			mapper.map					svga_s3		32							max						49716					.\mt32\SoundCanvas.sf2		.\mt32									opl3	nuked	49716																								
DOS00894	A-Train	a-train			openglnb			mapper.map	false				svga_s3		32							9000								20		mt32	.\mt32\SoundCanvas.sf2		.\mt32												true												false											
DOS00676	A2: The Ultimate Sequel To AUTS - The Ultimate Stress Relief Game	A2TheUlt			openglnb			mapper.map					svga_s3									50000																																																
DOS00677	A320 Airbus: Edition Europa	A320EURO			openglnb			mapper.map					svga_s3		64					normal																																																		
DOS00678	A320 Airbus: Edition USA	A320USA			openglnb			mapper.map					svga_s3		64					normal																																																		
DOS00679	AAARGH!	AAARGH!			openglnb			mapper.map					tandy									1500																																																
DOS17166	Aardvarks Museum	aardvark			openglnb			mapper.map					svga_s3		63													49716					.\mt32\SoundCanvas.sf2		.\mt32									opl3	nuked	49716																								
DOS06504	Avoid the Awful Thing that Vaguely Resembles a Banana!!	AATVRB			openglnb			mapper.map					svga_s3																																																									
DOS03048	La Abadía del Crimen	abadia			openglnb			mapper.map					cga	auto	4							500						48000				auto																				false		discrete																
DOS08026	La Abadía del Crimen (Remake)	abadia2			openglnb			mapper.map					svga_s3		32								500						2048	10																	true															true				none				
DOS00680	Abandoned Places: A Time for Heroes	Abanplac			openglnb			mapper.map					svga_s3		64							20000	500						2048	10																	true															true				none				
DOS07268	Abaron	Abaron			direct3d		400	mapper.map					svga_s3									40000																									true																							
DOS07269	ABC Fun Keys	ABCFunK			openglnb			mapper.map					svga_s3																																																									
DOS00682	ABC Monday Night Football	ABCMonda			openglnb			mapper.map					svga_s3		64																																																							
DOS07270	ABC-Talk	ABCTalk			openglnb			mapper.map					svga_s3																																																									
DOS00683	ABC Wide World of Sports Boxing	ABCWideW			openglnb			mapper.map	false				svga_s3		32															20		mt32	.\mt32\SoundCanvas.sf2		.\mt32												true												false											
DOS07271	Abductor	Abductor			openglnb			mapper.map					svga_s3									9000																																																
DOS00689	Abmis the Lion	Abmisthe			openglnb			mapper.map					svga_s3																																																									
DOS00690	Abrams Battle Tank	AbramsBa			openglnb			mapper.map					svga_s3		64							1200																																																
DOS00692	Absolute Pinball	Absolute			openglnb			mapper.map					svga_s3		64							max																																																
DOS00485	Abuse	Abuse			openglnb			mapper.map					svga_s3															49716					.\mt32\SoundCanvas.sf2	.2	.\mt32									opl3	nuked	49716																					true			
DOS00486	Abyss of Pandemonium	AbyssofP			openglnb			mapper.map	false				svga_s3		63					dynamic										20		mt32	.\mt32\SoundCanvas.sf2		.\mt32																								false											
DOS00484	Absolute Zero	AbZero			openglnb			mapper.map					svga_s3		63							75000											.\mt32\SoundCanvas.sf2		.\mt32																																			
DOS15199	A La Carrera	ACarrera			openglnb			mapper.map					svga_s3		63							2500								25																																								
DOS00489	Accordion	accordi			openglnb			mapper.map					svga_s3		64																																																							
DOS15525	Across the U.S.A.	AccrUSA			openglnb			mapper.map					svga_s3		63																																																							
DOS00490	ACE 2	ACE2			openglnb			mapper.map					svga_s3		64							600																																																
DOS07531	Ace	Ace94			openglnb			mapper.map					svga_s3																																																									
DOS00491	ACE: Air Combat Emulator	ACEAirCo			openglnb			mapper.map					svga_s3		64							600																																																
DOS00492	Ace of Aces	AceofAce			openglnb			mapper.map					ega		32							600																																																
DOS00494	Aces of the Deep	AcesotD			openglnb			mapper.map	false				svga_s3							dynamic		30000								20		mt32	.\mt32\SoundCanvas.sf2		.\mt32																								false											
DOS00694	Aces of the Pacific	AcesotP			openglnb			mapper.map	false				svga_s3		32							9000								20		mt32	.\mt32\SoundCanvas.sf2		.\mt32												true												false											
DOS00696	Aces Over Europe	AcesOver			openglnb			mapper.map	false				svga_s3		32							12000								20		mt32	.\mt32\SoundCanvas.sf2		.\mt32																								false											
DOS00572	All-American College Football (1991)	ACF91			openglnb			mapper.map					svga_s3		8							6000																																																
DOS17473	All-American College Football (1993)	ACF93			openglnb			mapper.map					svga_s3		8							9000																																																
DOS17474	All-American College Football (1995)	ACF95			openglnb			mapper.map					svga_s3		8							20000																																																
DOS00698	Acheton	acheton			openglnb			mapper.map					svga_s3		32								500						2048	10																	true															true				none				
DOS00699	Achtung, die Kurve!	Achtungd			openglnb			mapper.map					svga_s3		32													49716					.\mt32\SoundCanvas.sf2	.2	.\mt32									opl3	nuked	49716																								
DOS00700	ACiD Tetris	acidtetr			openglnb			mapper.map					svga_s3		64																																																							
DOS16197	AcidWarp	acidwarp			openglnb			mapper.map					svga_s3		63															25																	true																							
DOS00701	Ack-Ack Attack!	AckAckA			openglnb			mapper.map					svga_s3									1200																																																
DOS07273	ACK! Man	AckMan			openglnb			mapper.map					svga_s3																																																									
DOS07274	A Clue's Solution	ACluSol			openglnb			mapper.map					svga_s3																																																									
DOS07275	Acquire	Acquire			openglnb			mapper.map					svga_s3									350																																																
DOS00702	Across the Rhine	acrhine			openglnb			mapper.map					svga_s3	auto	32							40000						48000				auto																				false		discrete																
DOS07276	Acrostix	Acrostix			openglnb			mapper.map					svga_s3																																																									
DOS00457	Action SuperCross	acsupxrs			openglnb			mapper.map					svga_s3																																																									
DOS07935	Action Fighter (1994)	ActFiSS			openglnb			mapper.map					svga_s3																																																									
DOS00703	Action Fighter (1989)	ActionFi			openglnb			mapper.map					tandy		64							600																																						2axis										
DOS00708	Action Soccer	ActionSo			openglnb			mapper.map					svga_s3		32							30000										fluidsynth	.\mt32\SoundCanvas.sf2		.\mt32												true																							
DOS00709	Action Stations!	actistat			openglnb			mapper.map					svga_s3		64							600																																																
DOS15201	Actua Soccer	Actua95			openglnb			mapper.map					svga_s3									40000											.\mt32\SoundCanvas.sf2		.\mt32																																			
