eXoID	MobyID	Game	Safe	File	Folder	Year	Publisher	Developer	Genre	Perspective	SubGenre	Misc	Series	URL	Collection	Notes	Compilation?	Foreign?	Add-On Included?	3D Graphics Card	3DFX Enabled	Video Modes	Video Resolution	SC55 Enabled	MT32 Enabled	Tandy Sound Enabled	Printer Support?	Max Players	Min CPU
DOS15528	120778	Kidsongs: Musical Mystery	Kidsongs Musical Mystery	Kidsongs Musical Mystery (1996).zip	kidsongs	1996	TerraGlyph Interactive Studios, L.P.	TerraGlyph Interactive Studios, L.P.	Adventure; Education				Theme: Fantasy	http://www.mobygames.com/game/kidsongs-musical-mystery	Y													1	
DOS16039		KidSpeak English - Mike Teaches English	KidSpeak English - Mike Teaches English	KidSpeak English - Mike Teaches English (1998).zip	KidSpeak	1998	Smarty Pants Publishing	Transparent Language, Inc.	Education				Education: Reading / Writing		Y													1	
DOS16042		KidSpeak French, German, and Spanish	KidSpeak French, German, and Spanish	KidSpeak French, German, and Spanish (1998).zip	KSSFG	1998	Smarty Pants Publishing	Transparent Language, Inc.	Education				Education: Reading / Writing		Y													1	
DOS16040		KidSpeak Japanese, Chinese, Korean, and Indonesian	KidSpeak Japanese, Chinese, Korean, and Indonesian	KidSpeak Japanese, Chinese, Korean, and Indonesian (1998).zip	KSJCKI	1998	Smarty Pants Publishing	Transparent Language, Inc.	Education				Education: Reading / Writing		Y													1	
DOS16041		KidSpeak Portuguese, Hebrew, and Italian	KidSpeak Portuguese, Hebrew, and Italian	KidSpeak Portuguese, Hebrew, and Italian (1998).zip	KSPHI	1998	Smarty Pants Publishing	Transparent Language, Inc.	Education				Education: Reading / Writing		Y													1	
DOS06911	70308	Killer Bees (1985)	Killer Bees	Killer Bees (1985).zip	KllBee85	1985	MAPLES Software	MAPLES Software	Action; Shooter	1st-Person Perspective	Arcade, Shooter			http://www.mobygames.com/game/pc-fun	Y							CGA						1	Intel 8088 / 8086
DOS06910	70307	Killer Bees (1992)	Killer Bees	Killer Bees (1992).zip	KllBee92	1992	Freeware	Unknown	Action; Shooter	1st-Person Perspective	Arcade, Shooter			http://www.mobygames.com/game/killer-bees__	Y							EGA						1	
DOS02999	28588	Killerball	Killerball	Killerball (1991).zip	Killerba	1991	Microïds	Microïds	Action; Sports	Platform	Cyberpunk / Dark Sci-Fi		Theme: Sci-Fi	http://www.mobygames.com/game/killerball	Y							VGA; EGA						8	Intel 8088 / 8086
DOS03000	1808	Killing Cloud	Killing Cloud	Killing Cloud (1991).zip	KillingC	1991	Image Works	Vektor Grafix Ltd	Action; Flight Simulator; Vehicle Simulation	1st-Person Perspective	Flight, Sci-Fi / Futuristic		Theme: Sci-Fi	http://www.mobygames.com/game/killing-cloud	Y							CGA; VGA; EGA; Tandy / PCjr			Y			1	Intel 8088 / 8086
DOS03001	1074	Kiloblaster	Kiloblaster	Kiloblaster (1992).zip	Kiloblas	1992	Epic MegaGames, Inc.	Epic MegaGames, Inc.	Action; Shooter / Fixed-screen shoot'em up	Top-Down	Sci-Fi / Futuristic, Shooter	Editor / Construction Set	Genre: Fixed-screen shoot 'em up	http://www.mobygames.com/game/kiloblaster	Y							VGA; EGA						1	Intel 80286
DOS05919	8620	KinderComp	Kindercomp	Kindercomp (1983).zip	kindcomp	1983	Spinnaker Software Corporation	Spinnaker Software Corporation	Education				Education: Math / Logic; Education: Reading / Writing	http://www.mobygames.com/game/kindercomp	Y							CGA						1	Intel 8088 / 8086
DOS03002	4889	King Arthur's K.O.R.T.	King Arthur's KORT	King Arthur's KORT (1994).zip	kingkort	1994	MVP Software	MVP Software	Strategy		Fantasy, Historical Battle (specific/exact)		Theme: Fantasy	http://www.mobygames.com/game/king-arthurs-kort	Y							VGA						1	
DOS07979		King Kong 10	King Kong 10	King Kong 10 (1996).zip	KinKon10	1996	Acer TWP	Acer TWP	Action; Platform		Arcade			http://www.theisozone.com/downloads/pc/dos-games/king-kong-10-dunk-kong/	Y													1	
