Identification FileName	Size	CRC32	eXoID	ZIP	Boot	Image	StartingExe	StartingExeSize	StartingExeCRC	IDFileFolder	Rowstart	Rowlines	eXoDOS entry?	Same ID, Name and Size	Unique File
vgashoot.exe	38941	B0E883F7	DOS02693	If It Moves, Shoot It! (1989).zip			shoot.bat	819	2ACEE01B	IfItMove\					1
MAINDOS.EXE	1156502	0DCE893E	DOS02694	Ignition (1997).zip			IGN_DOS.BAT	15	C28F24E2	Ignition\ignition\					1
IGOR.EXE	110368	19B9134B	DOS02695	Igor - Objective Uikokahonia (1994).zip						igor\					1
S.EXE	542311	6EF5E3F8	DOS02696	I Have No Mouth and I Must Scream (1995).zip			run.bat	757	831BD6D6	ihnmaims\					1
IKARI3.EXE	110887	93AC3BE5	DOS02697	Ikari III - The Rescue (1989).zip						IkariIII\					1
victory.com	889	4F248DF4	DOS02698	Ikari Warriors II - Victory Road (1988).zip						IkariW2\					1
START.EXE	43445	2A60EB4D	DOS02699	Il grande gioco di Tangentopoli (1993).zip						Ilgrande\					1
ILZI.EXE	32439	9A6D23ED	DOS02701	Iljimae-jeon - Manpa Sikjeok-pyeon (1994).zip			ILZI.BAT	36	2AC4B664	Iljimae\danbi\					1
IB.EXE	16230	67721DB4	DOS02702	Illusion Blaze (1994).zip						Illusion\					1
IMMEEN.BIN	103245744	C0CD08D8	DOS02703	I.M. Meen (1995).zip		Image				IMMeen\cd\					1
IMMORTAL.COM	1960	120B65E5	DOS02704	Immortal, The (1991).zip			run.bat	426	673DDBBE	timmorta\					1
IMPAREA.EXE	168372	AD87F032	DOS02705	ImpArea (1994).zip						ImpArea\					1
IMPERIUM.EXE	218813	104D2AF7	DOS02706	Imperium (1990).zip			run.bat	418	7368111D	imperium\					1
IMPERIUM.EXE	21152	52A32332	DOS02707	Imperium Galactica (1997).zip			IMPERIUM.EXE	21152	52A32332	imperig\					1
IMPERIUM.EXE	403795	D196FD02	DOS02708	Imperium Romanum (1996).zip						ImpRom96\IMPERIUM\					1
IM.COM	684	2F9442A3	DOS02709	Impossible Mission II (1988).zip						Impossib\					1
RACER.EXE	34912	1E2B0FC1	DOS02710	Inanimate Racer (1998).zip						Inanimat\					1
TRANSFER.EXE	53975	C1C6CC62	DOS02711	Inca (1992).zip			INCA.BAT	9	1D8D6B00	inca1\					1
INCA2.EXE	685938	5665846E	DOS02713	Inca II - Nations of Immortality (1993).zip						inca2\					1
HULK.EXE	733800	17D47DCF	DOS02714	Incredible Hulk, The - The Pantheon Saga (1997).zip						TheIncre\hulk\					1
TIM2.EXE	457168	D05BDD2F	DOS02715	Incredible Machine 2, The (1994).zip			run.bat	910	45F89D50	TIncM2\					1
TIM.EXE	220544	17CCC00B	DOS02716	Incredible Machine, The (1993).zip			run.bat	684	7B87C5E7	TIncM1\					1
INCINT.EXE	10752	D773CA19	DOS02717	Incunabula (1984).zip						incunab\					1
INDENTUR.COM	52299	0D2BD40C	DOS02718	Indenture (1991).zip						indent\					1
ATLANTIS.img	189949872	98D31C1E	DOS02719	Indiana Jones and the Fate of Atlantis (1992).zip			run.bat	772	4547C1F8	indy4\fate\					1
INDY4A.EXE	77428	79B53639	DOS02720	Indiana Jones and The Fate of Atlantis - The Action Game (1992).zip						IndiJFoA\					1
INDY.COM	48886	CB28AC5E	DOS02722	Indiana Jones and the Last Crusade - The Action Game (1989).zip						IniJLCA\					1
indy256.exe	117708	395DFDEE	DOS02723	Indiana Jones and The Last Crusade (1989).zip						indycru\					1
INDY.EXE	242231	ACC910E8	DOS02724	Indiana Jones and the Temple of Doom (1989).zip						IndiJTD\					1
TABLES	4280	664504FD	DOS02725	Indiana Jones in Revenge of the Ancients (1987).zip			START.BAT	573	0B98591B	indyanci\					1
INDY.EXE	159593	76EADCE6	DOS02726	Indianapolis 500 The Simulation (1989).zip			run.bat	456	C8119701	Indianap\					1
INDYCAR.EXE	742377	3CF3643B	DOS02728	IndyCar Racing (1993).zip			run.bat	390	832FAC1B	IndyCarR\					2
INDYCAR.EXE	1142371	5B8B39A3	DOS02729	IndyCar Racing II (1996).zip			RUN.BAT	482	259ADE30	IndyCR2\					1
EXTREMIS.EXE	149303	24D786A6	DOS02730	In Extremis (1993).zip						InExtrem\					1
The Infernal Tome.img	22565088	DB4A7259	DOS02731	Infernal Tome, The (1994).zip		Image				infertom\cd\					1
START.EXE	37120	538E70A0	DOS02732	Inferno (1994).zip			run.bat	783	E9034B41	Inferno\inferno\					1
INFEST.COM	2432	1330F3D1	DOS02733	Infestation (1990).zip						infestat\					1
INFIDEL.DAT	122880	1E60959B	DOS02734	Infidel (1983).zip			frotz.exe	129024	57987597	infidel\					1
INF.EXE	1392	E183FBBD	DOS02735	Infiltrator (1987).zip						infil1\					1
inf.exe	960	43A4E209	DOS02736	Infiltrator II (1988).zip						infil2\					1
MENU.EXE	22704	523E7AE4	DOS02738	Gnome Ranger II - Ingrid's Back (1988).zip						gnomer2\					1
ITE.EXE	509935	883B9B9E	DOS02739	Inherit the Earth - Quest for the Orb (1994).zip			run.bat	885	EB56294E	ite\ite\					1
DEMONS.EXE	168448	7EFDB7B0	DOS02740	Inner Demons (1996).zip						indemons\					1
KING.EXE	169182	11BD3FBB	DOS02741	Kingmaker (1994).zip						kingmake\					1
CHICAGO.EXE	82256	B73EA42A	DOS02742	King of Chicago, The (1986).zip						kchicago\					1
KINGPIN.EXE	371830	293FA983	DOS02743	Kingpin - Arcade Sports Bowling (1995).zip			KINGPIN.EXE	371830	293FA983	KingpinA\games\kingpin\					1
KB.EXE	113718	B5C41801	DOS02744	King's Bounty (1990).zip						kingboun\					1
