eXoID	Game	Folder	AutoexecEcho	AutoexecMounts	AutoexecPrelauncher1	AutoexecPrelauncher2	AutoexecPrelauncher3	AutoexecPrelauncher4	AutoexecExecuteable	AutoexecLastMountPath	AutoexecLastPathChange	AutoexecPathChanges	Adir	Bdir	Cdir	Ddir	ExitFound	DOSBoxVersion	ScummVM
DOS07104	Strange Days	StrngDay		C;;StrngDay;|					play strange	c:		c: play strange|			StrngDay		Yes	dosbox.exe	
DOS04909	Stronghold	Strongho		C;;Strongho;|					call run	c:		c: call run|			Strongho		Yes	ece4230\dosbox.exe	
DOS15949	Stroper	Stroper		C;;Stroper;|					STROPER	c:	stroper	c:\stroper STROPER|			Stroper		Yes	dosbox.exe	
DOS07098	Star Ship Attack	StrShpAt		C;;StrShpAt;|					call STARSHIP	c:		c: call STARSHIP|			StrShpAt		Yes	dosbox.exe	
DOS16126	Starting Blocks	StrtBlk		C;;StrtBlk;|					start.com	c:		c: start.com|			StrtBlk		Yes	dosbox.exe	
DOS07099	Star Trek	StrTrk81		C;;StrTrk81;|					call startrek	c:		c: call startrek|			StrTrk81		Yes	dosbox.exe	
DOS02793	Street Rod	StrtRods		C;;StrtRods;|					call run	c:		c: call run|			StrtRods		Yes	dosbox.exe	
DOS16172	Stars Troopers	StrTroop		C;;StrTroop;|D;IMG;Stars Troopers.ISO;-t cdrom|					game	d:		d: game|			StrTroop	Stars Troopers.ISO	Yes	ece4230\dosbox.exe	
DOS02796	Street Sports Basketball	StrtSpBa		C;;StrtSpBa;|					call run.bat	c:		c: call run.bat|			StrtSpBa		Yes	staging0.81.0a\dosbox.exe	
DOS02795	Street Sports Baseball	StrtSpBs		C;;StrtSpBs;|					call SSBB	c:	StrtSpBs	c:\StrtSpBs call SSBB|			StrtSpBs		Yes	dosbox.exe	
DOS02797	Street Sports Soccer	StrtSpSo		C;;StrtSpSo;|					loadfix sss	c:	StrtSpSo	c:\StrtSpSo loadfix sss|			StrtSpSo		Yes	dosbox.exe	
DOS15541	Storybook Weaver	Strybook		A;;Strybook\floppy;-t floppy|C;;Strybook;|					call run	c:	sbw	c:\sbw call run|	Strybook\floppy		Strybook		Yes	ece4230\dosbox.exe	
DOS04910	Stryx	Stryx		C;;Stryx;|	loadfix -63				call stryx	c:	Stryx	c:\Stryx loadfix -63| call stryx|			Stryx		Yes	dosbox.exe	
DOS15751	Star Ship Command	StShipCo		C;;StShipCo;|					call ssc1	c:		c: call ssc1|			StShipCo		Yes	dosbox.exe	
DOS00105	Star Trek: The Last Generation	STTLG		C;;STTLG;|					lasttrek	c:	STTLG	c:\STTLG lasttrek|			STTLG		Yes	dosbox.exe	
DOS04836	Star Trek: The Next Generation - The Transinium Challenge	sttrans		C;;;|					call trek	c:	sttrans	c:\sttrans call trek|					Yes	dosbox.exe	
DOS04835	Star Trek: The Next Generation - A Final Unity	stunity		C;;stunity;|D;IMG;Star Trek The Next Generation - A Final Unity.cue;-t cdrom|e;IMG;stdemo.cue;-t cdrom|					call run	c:		c: call run|			stunity	Star Trek The Next Generation - A Final Unity.cue	Yes	ece4230\dosbox.exe	
DOS04913	S.T.U.N. Runner	STUNRunn		C;;;|					stun	c:	STUNRunn	c:\STUNRunn stun|					Yes	dosbox.exe	
DOS04914	Stunt Driver	StuntDri		C;;StuntDri;|					call run	c:		c: call run|			StuntDri		Yes	dosbox.exe	
DOS04915	Stunt Island	StuntIsl		C;;StuntIsl;|					call run	c:		c: call run|			StuntIsl		Yes	ece4230\dosbox.exe	
DOS06254	Stunt Jumper	StuntJu		C;;StuntJu;|					jump	c:		c: jump|			StuntJu		Yes	dosbox.exe	
DOS04916	Stunts	Stunts		C;;Stunts;|					call run	c:		c: call run|			Stunts		Yes	ece4230\dosbox.exe	
DOS04917	Stunt Track Racer	StuntTra		C;;;|					stuntega	c:	StuntTra	c:\StuntTra stuntega|					Yes	dosbox.exe	
DOS04918	Styx	Styx		C;;Styx;|					styx	c:		c: styx|			Styx		Yes	ece4230\dosbox.exe	
DOS04920	Su-27 Flanker	Su-27Fla		C;;Su-27Fla;|D;IMG;Su-27 Flanker - Squadron Commander's Edition (Netherlands).cue;-t cdrom|					call run	c:		c: call run|			Su-27Fla	Su-27 Flanker - Squadron Commander's Edition (Netherlands).cue	Yes	dosbox.exe	
DOS04921	Sub Battle Simulator	SubBattl		C;;;|					sub	c:	SubBattl	c:\SubBattl sub|					Yes	dosbox.exe	
DOS04922	Subbuteo	Subbuteo		C;;;|					SUBBUTEO	c:	Subbuteo	c:\Subbuteo SUBBUTEO|					Yes	dosbox.exe	
DOS04925	Submarine Fury	SubFury		C;;SubFury;|					call sub	c:	Submarin	c:\Submarin call sub|			SubFury		Yes	dosbox.exe	
DOS04923	Subhunt	Subhunt		C;;;|					call run	c:	Subhunt	c:\Subhunt call run|					Yes	ece4230\dosbox.exe	
DOS04924	Submarine	Submarin		C;;;|					sub	c:	Submarin	c:\Submarin sub|					Yes	dosbox.exe	
DOS05985	Sub Mission	submiss		C;;submiss;|					call run.bat	c:		c: call run.bat|			submiss		Yes	staging0.81.0a\dosbox.exe	
DOS06347	Subway Sleuth	SubSluth		C;;SubSluth;|					subsl	c:	SubSluth	c:\SubSluth subsl|			SubSluth		Yes	dosbox.exe	
DOS15766	Subterraneans	Subterra		C;;Subterra;|D;IMG;Subterraneans + Origins of the Puppet Master.iso;-t cdrom|					rungame	c:	SUB	c:\SUB rungame|			Subterra	Subterraneans + Origins of the Puppet Master.iso	Yes	dosbox.exe	
DOS04926	Subtrade: Return to Irata	Subtrade		C;;;|					subtrade	c:	Subtrade	c:\Subtrade subtrade|					Yes	dosbox.exe	
DOS04927	Suburban Commando	Suburban		C;;Suburban;|					commando	c:	Suburban	c:\Suburban commando|			Suburban		Yes	dosbox.exe	
DOS04929	Subwar 2050 (CD-ROM)	SubwarCD		C;;SubwarCD;|D;IMG;Subwar2050.iso;-t cdrom|					call run	c:	subwar	c:\subwar call run|			SubwarCD	Subwar2050.iso	Yes	ece4230\dosbox.exe	
DOS06674	Sudoku The Mind Game	Sudoku06		C;;Sudoku06;|					SUDOKU	c:		c: SUDOKU|			Sudoku06		Yes	dosbox.exe	
DOS07107	Sudoku86	Sudoku86		C;;Sudoku86;|					sudoku86	c:		c: sudoku86|			Sudoku86		Yes	dosbox.exe	
DOS04931	Summer Challenge	SummerCh		C;;SummerCh;|					call game	c:		c: call game|			SummerCh		Yes	ece4230\dosbox.exe	
DOS05986	Summer Games II	SummerGa		C;;SummerGa;|Boot;;SUMMER2.IMG;-l a|								c:			SummerGa		Yes	dosbox.exe	
DOS16127	Sumo Wrestling	Sumo99		C;;Sumo99;|					call sumo	c:		c: call sumo|			Sumo99		Yes	dosbox.exe	
DOS07855	SungSegi	SungSegi		C;;SungSegi;|					sceg	c:		c: sceg|			SungSegi		Yes	dosbox.exe	
DOS04934	Supaplex	Supaplex		C;;Supaplex;|					call run	c:		c: call run|			Supaplex		Yes	ece4230\dosbox.exe	
DOS15767	Super Apocalypse Warriors	SupApocW		C;;SupApocW;|					saw	c:		c: saw|			SupApocW		Yes	dosbox.exe	
DOS05987	Super Boulder Dash	supbold		C;;supbold;|Boot;;SUPRBOLD.IMA;|								c:			supbold		Yes	ece4230\dosbox.exe	
DOS15858	Supercopter	SupCoptr		C;;SupCoptr;|					supercop	c:		c: supercop|			SupCoptr		Yes	dosbox.exe	
DOS06255	Super Action Ball	SuperAc		C;;SuperAc;|					call play	c:		c: call play|			SuperAc		Yes	ece4230\dosbox.exe	
DOS07804	Super Angelo	SuperAng		C;;SuperAng;|					angelo	c:		c: angelo|			SuperAng		Yes	dosbox.exe	
DOS04936	Super Ball!	SuperBal		C;;SuperBal;|					sb	c:	SuperBal	c:\SuperBal sb|			SuperBal		Yes	dosbox.exe	
DOS04937	Super Beemger	SuperBee		C;;SuperBee;|					call run	c:	beemger	c:\beemger call run|			SuperBee		Yes	ece4230\dosbox.exe	
DOS04938	Superbike Challenge	Superbik		C;;Superbik;|					call run.bat	c:		c: call run.bat|			Superbik		Yes	staging0.81.0a\dosbox.exe	
DOS05988	Super Bowl Sunday	Superbow		C;;Superbow;|Boot;;SBS.img;-l a|								c:			Superbow		Yes	ece4230\dosbox.exe	
DOS04939	Super Bubble Mania	SuperBu		C;;SuperBu;|					call bmania	c:	bmania	c:\bmania call bmania|			SuperBu		Yes	dosbox.exe	
DOS04940	Super C	SuperC		C;;SuperC;|					call go	c:	SuperC	c:\SuperC call go|			SuperC		Yes	dosbox.exe	
DOS04941	Supercars International	Supercar		C;;;|					SUPACARS	c:	Supercar	c:\Supercar SUPACARS|					Yes	dosbox.exe	
DOS04942	Super Cauldron	SuperCau		C;;SuperCau;|					cauldron	c:	SuperCau	c:\SuperCau cauldron|			SuperCau		Yes	dosbox.exe	
DOS06256	Super Cop	SuperCo		C;;SuperCo;|					sup	c:		c: sup|			SuperCo		Yes	ece4230\dosbox.exe	
DOS04945	Superfly	Superfly		C;;Superfly;|					fly	c:	Superfly	c:\Superfly fly|			Superfly		Yes	dosbox.exe	
DOS04946	Superfrog	Superfro		C;;Superfro;|					sf	c:	Superfro	c:\Superfro sf|			Superfro		Yes	dosbox.exe	
DOS04947	Super Hang-On	SuperHan		C;;;|					shangon	c:	SuperHan	c:\SuperHan shangon|					Yes	dosbox.exe	
DOS04951	SuperKarts	SuperKar		C;;SuperKar;|D;IMG;Superkarts.cue;-t cdrom|					call run	c:		c: call run|			SuperKar	Superkarts.cue	Yes	dosbox.exe	
DOS15770	Super Kid	SuperKid		C;;SuperKid;|D;;SuperKid\superki~1;-t cdrom|					kid	c:	superk~2	c:\superk~2 kid|			SuperKid	SuperKid\superki~1	Yes	dosbox.exe	
DOS04952	Super Kof	SuperKof		C;;SuperKof;|					emonkey	c:	SuperKof	c:\SuperKof emonkey|			SuperKof		Yes	dosbox.exe	
DOS04954	Superman: The Man of Steel	Superman		C;;Superman;|					call super	c:	Superman	c:\Superman call super|			Superman		Yes	dosbox.exe	
DOS04955	Super Munchers: The Challenge Continues...	SuperMun		C;;;|					sm	c:	SuperMun	c:\SuperMun sm|					Yes	dosbox.exe	
DOS04956	Super Noah's Ark 3-D	SuperNoa		C;;SuperNoa;|					NOAH3D	c:	SuperNoa	c:\SuperNoa NOAH3D|			SuperNoa		Yes	dosbox.exe	
DOS04958	Super Pac-Man	SuperPac		C;;SuperPac;|					CGASPAC	c:	SuperPac	c:\SuperPac CGASPAC|			SuperPac		Yes	dosbox.exe	
DOS04959	Super Panic Monsters	SuperPan		C;;SuperPan;|					spm	c:	panic	c:\panic spm|			SuperPan		Yes	dosbox.exe	
DOS04960	Super Password	SuperPas		C;;;|					pass	c:	SuperPas	c:\SuperPas pass|					Yes	dosbox.exe	
DOS04961	Super Plumber	SuperPlu		C;;;|					SPLUM	c:	SuperPlu	c:\SuperPlu SPLUM|					Yes	dosbox.exe	
DOS04963	Super Silverbrothers	SuperSil		C;;SuperSil;|					sibros	c:		c: sibros|			SuperSil		Yes	ece4230\dosbox.exe	
DOS04979	Super Stupid Space Invaders	SuperSt		C;;SuperSt;|					sssi	c:		c: sssi|			SuperSt		Yes	dosbox.exe	
DOS04976	Super Star Trek (1982)	SuperSta		C;;SuperSta;|					call STARTREK	c:		c: call STARTREK|			SuperSta		Yes		
DOS06412	Super Star Wars	SuperSW		C;;SuperSW;|					call run	c:		c: call run|			SuperSW		Yes	ece4230\dosbox.exe	
DOS04981	Super Tetris	SuperTet		A;;SuperTet\floppy;-t floppy|C;;SuperTet;|					call run	c:		c: call run|	SuperTet\floppy		SuperTet		Yes	ece4230\dosbox.exe	
DOS04983	Super Trix	SuperTr		C;;SuperTr;|					game	c:		c: game|			SuperTr		Yes	dosbox.exe	
DOS06420	Super Worms	SuperWo		C;;SuperWo;|					sw	c:		c: sw|			SuperWo		Yes	dosbox.exe	
DOS05989	Super Zaxxon	SuperZax		C;;SuperZax;|					SZAXJR	c:	SuperZax	c:\SuperZax SZAXJR|			SuperZax		Yes	ece4230\dosbox.exe	
DOS04986	Super ZZT	superzzt		C;;;|					call run	c:	superzzt	c:\superzzt call run|					Yes	ece4230\dosbox.exe	
DOS15769	Super Gem'Z	SupGemz		C;;SupGemz;|					GEMZ	c:		c: GEMZ|			SupGemz		Yes	dosbox.exe	
DOS04949	Super Huey II	SupHue2		C;;;|					sh2	c:	SupHue2	c:\SupHue2 sh2|					Yes	dosbox.exe	
DOS04950	Super Huey UH-IX	SupHueIX		C;;;|					sh	c:	SupHueIX	c:\SupHueIX sh|					Yes	dosbox.exe	
DOS08043	Super Boxing	SuprBox		C;;SuprBox;|	setd				call sboxing	c:		c: setd| call sboxing|			SuprBox		Yes	dosbox.exe	
DOS08044	Supercyber	SuprCyb		C;;SuprCyb;|					call SUPERCYB	c:		c: call SUPERCYB|			SuprCyb		Yes	dosbox.exe	
DOS16128	Super Domination	SuprDomi		C;;SuprDomi;|					SUPERDOM	c:		c: SUPERDOM|			SuprDomi		Yes	ece4230\dosbox.exe	
